MatchNo,FIFA_ID,Home,Away,Status,Score,HomeGoals,AwayGoals,ResultType,MatchTime,DecidedBy,Home90,Away90,HomeExtra,AwayExtra,HomePen,AwayPen,Winner,Loser
64,400021485,CPV,KSA,,0-0,0,0,1,96',REGULAR,0,0,—,—,,,,
65,400021481,NZL,BEL,,1-5,1,5,1,96',REGULAR,1,5,—,—,,,BEL,NZL
66,400021479,EGY,IRN,,1-1,1,1,1,99',REGULAR,1,1,—,—,,,,
67,400021508,PAN,ENG,,0-2,0,2,1,98',REGULAR,0,2,—,—,,,ENG,PAN
68,400021509,CRO,GHA,,2-1,2,1,1,98',REGULAR,2,1,—,—,,,CRO,GHA
69,400021500,COD,UZB,,3-1,3,1,1,99',REGULAR,3,1,—,—,,,COD,UZB
70,400021505,COL,POR,,0-0,0,0,1,96',REGULAR,0,0,—,—,,,,
71,400021497,ALG,AUT,,3-3,3,3,1,97',REGULAR,3,3,—,—,,,,
72,400021495,JOR,ARG,,1-3,1,3,1,96',REGULAR,1,3,—,—,,,ARG,JOR
73,400021518,RSA,CAN,,0-1,0,1,1,97',REGULAR,0,1,—,—,,,CAN,RSA
74,400021516,BRA,JPN,,2-1,2,1,1,101',REGULAR,2,1,—,—,,,BRA,JPN
75,400021513,GER,PAR,,1-1,1,1,2,132',PENALTY,1,1,0,0,3,4,PAR,GER
76,400021522,NED,MAR,,1-1,1,1,2,130',PENALTY,1,1,0,0,2,3,MAR,NED
77,400021514,CIV,NOR,,1-2,1,2,1,98',REGULAR,1,2,—,—,,,NOR,CIV
78,400021523,FRA,SWE,,3-0,3,0,1,95',REGULAR,3,0,—,—,,,FRA,SWE
79,400021520,MEX,ECU,,2-0,2,0,1,99',REGULAR,2,0,—,—,,,MEX,ECU
80,400021512,ENG,COD,,2-1,2,1,1,97',REGULAR,2,1,—,—,,,ENG,COD
81,400021525,BEL,SEN,,3-2,3,2,3,132',EXTRA,2,2,1,0,,,BEL,SEN
82,400021524,USA,BIH,,2-0,2,0,1,101',REGULAR,2,0,—,—,,,USA,BIH
83,400021519,ESP,AUT,,3-0,3,0,1,97',REGULAR,3,0,—,—,,,ESP,AUT
84,400021526,POR,CRO,,2-1,2,1,1,109',REGULAR,2,1,—,—,,,POR,CRO
85,400021527,SUI,ALG,,2-0,2,0,1,97',REGULAR,2,0,—,—,,,SUI,ALG
