MatchNo,Group,Home,Away,Date,City,Stadium
75,,GER,PAR,2026-06-29T20:30:00Z,Boston,Boston Stadium
76,,NED,MAR,2026-06-30T01:00:00Z,Monterrey,Monterrey Stadium
77,,CIV,NOR,2026-06-30T17:00:00Z,Dallas,Dallas Stadium
78,,FRA,SWE,2026-06-30T21:00:00Z,New Jersey,New York/New Jersey Stadium
79,,MEX,ECU,2026-07-01T02:00:00Z,Mexico City,Mexico City Stadium
80,,ENG,COD,2026-07-01T16:00:00Z,Atlanta,Atlanta Stadium
81,,BEL,SEN,2026-07-01T20:00:00Z,Seattle,Seattle Stadium
82,,USA,BIH,2026-07-02T00:00:00Z,San Francisco Bay Area,San Francisco Bay Area Stadium
83,,ESP,AUT,2026-07-02T19:00:00Z,Los Angeles,Los Angeles Stadium
84,,POR,CRO,2026-07-02T23:00:00Z,Toronto,Toronto Stadium
85,,SUI,ALG,2026-07-03T03:00:00Z,Vancouver,BC Place Vancouver
86,,AUS,EGY,2026-07-03T18:00:00Z,Dallas,Dallas Stadium
87,,ARG,CPV,2026-07-03T22:00:00Z,Miami,Miami Stadium
88,,COL,GHA,2026-07-04T01:30:00Z,Kansas City,Kansas City Stadium
89,,CAN,MAR,2026-07-04T17:00:00Z,Houston,Houston Stadium
90,,PAR,FRA,2026-07-04T21:00:00Z,Philadelphia,Philadelphia Stadium
91,,BRA,NOR,2026-07-05T20:00:00Z,New Jersey,New York/New Jersey Stadium
92,,MEX,ENG,2026-07-06T00:00:00Z,Mexico City,Mexico City Stadium
93,,,,2026-07-06T19:00:00Z,Dallas,Dallas Stadium
94,,USA,BEL,2026-07-07T00:00:00Z,Seattle,Seattle Stadium
95,,,,2026-07-07T16:00:00Z,Atlanta,Atlanta Stadium
96,,,,2026-07-07T20:00:00Z,Vancouver,BC Place Vancouver
97,,,,2026-07-09T20:00:00Z,Boston,Boston Stadium
98,,,,2026-07-10T19:00:00Z,Los Angeles,Los Angeles Stadium
99,,,,2026-07-11T21:00:00Z,Miami,Miami Stadium
100,,,,2026-07-12T01:00:00Z,Kansas City,Kansas City Stadium
101,,,,2026-07-14T19:00:00Z,Dallas,Dallas Stadium
102,,,,2026-07-15T19:00:00Z,Atlanta,Atlanta Stadium
103,,,,2026-07-18T21:00:00Z,Miami,Miami Stadium
104,,,,2026-07-19T19:00:00Z,New Jersey,New York/New Jersey Stadium
